Order	Family	Species	Occurrence	FishBase name	Name	Use	Use_elsewhere
Perciformes	Sciaenidae	Pterotolithus lateoides	native 	Bigmouth croaker 	jaranggigi 	commercial 	minor commercial 
Perciformes	Sciaenidae	Pterotolithus maculatus	native 	Blotched tiger-toothed croaker 	Tetet 	commercial 	minor commercial 
Cypriniformes	Cyprinidae	Puntioplites bulu	native 	 	Bulu-bulu 	commercial 	commercial 
Perciformes	Rachycentridae	Rachycentron canadum	native 	Cobia 	Badee 	commercial 	minor commercial 
Clupeiformes	Pristigasteridae	Raconda russeliana	native 	Raconda 	 	minor commercial 	minor commercial 
Perciformes	Scombridae	Rastrelliger brachysoma	native 	Short mackerel 	Kembung perempuan 	commercial 	highly commercial 
Perciformes	Scombridae	Rastrelliger faughni	native 	Island mackerel 	Kembung 	commercial 	commercial 
Perciformes	Scombridae	Rastrelliger kanagurta	native 	Indian mackerel 	Banjar 	highly commercial 	highly commercial 
Perciformes	Gempylidae	Rexea prometheoides	native 	Royal escolar 	 	commercial 	commercial 
Perciformes	Sparidae	Rhabdosargus sarba	native 	Goldlined seabream 	 	commercial 	commercial 
Rhinopristiformes	Rhinidae	Rhina ancylostoma	native 	Bowmouth guitarfish 	Hiu barong 	commercial 	commercial 
Orectolobiformes	Rhincodontidae	Rhincodon typus	native 	Whale shark 	Hiu paus 	minor commercial 	commercial 
Carcharhiniformes	Carcharhinidae	Rhizoprionodon acutus	native 	Milk shark 	Hiu pilus 	commercial 	commercial 
Carcharhiniformes	Carcharhinidae	Rhizoprionodon oligolinx	native 	Grey sharpnose shark 	Hiu pilus 	commercial 	commercial 
Perciformes	Gempylidae	Ruvettus pretiosus	native 	Oilfish 	 	subsistence fisheries 	minor commercial 
Perciformes	Scombridae	Sarda orientalis	native 	Striped bonito 	 	minor commercial 	minor commercial 
Clupeiformes	Clupeidae	Sardinella albella	native 	White sardinella 	Bulan 	commercial 	commercial 
Clupeiformes	Clupeidae	Sardinella atricauda	native 	Bleeker's blacktip sardinella 	Ekor hangus 	minor commercial 	minor commercial 
Clupeiformes	Clupeidae	Sardinella brachysoma	native 	Deepbody sardinella 	Tembang perempuan 	minor commercial 	minor commercial 
Clupeiformes	Clupeidae	Sardinella gibbosa	native 	Goldstripe sardinella 	Tembang 	highly commercial 	highly commercial 
Clupeiformes	Clupeidae	Sardinella lemuru	native 	Bali sardinella 	Lemuru 	commercial 	highly commercial 
Clupeiformes	Clupeidae	Sardinella melanura	native 	Blacktip sardinella 	 	minor commercial 	minor commercial 
Aulopiformes	Synodontidae	Saurida nebulosa	native 	Clouded lizardfish 	Blotched grinner 	subsistence fisheries 	commercial 
Aulopiformes	Synodontidae	Saurida tumbil	native 	Greater lizardfish 	Buntut kerbo 	commercial 	commercial 
Aulopiformes	Synodontidae	Saurida undosquamis	native 	Brushtooth lizardfish 	Large-scale grinner 	minor commercial 	minor commercial 
Perciformes	Scaridae	Scarus ghobban	native 	Blue-barred parrotfish 	Kakatua biru 	commercial 	commercial 
Perciformes	Scatophagidae	Scatophagus argus	native 	Spotted scat 	Bidang 	minor commercial 	minor commercial 
Osteoglossiformes	Osteoglossidae	Scleropages formosus	native 	Asian bonytongue 	Ikan siluk 	commercial 	commercial 
Carcharhiniformes	Carcharhinidae	Scoliodon laticaudus	native 	Spadenose shark 	Hiu kejen 	commercial 	commercial 
Perciformes	Nemipteridae	Scolopsis affinis	native 	Peters' monocle bream 	Yellow-tail spinecheek 	subsistence fisheries 	subsistence fisheries 
Perciformes	Nemipteridae	Scolopsis aurata	native 	Yellowstripe monocle bream 	Pasir-pasir 	subsistence fisheries 	subsistence fisheries 
