Order	Family	Species	Occurrence	FishBase name	Name	Use	Use_elsewhere
Perciformes	Acanthuridae	Acanthurus triostegus	native 	Convict surgeonfish 	Botana lorek 	commercial 	commercial 
Perciformes	Acanthuridae	Acanthurus xanthopterus	native 	Yellowfin surgeonfish 	Kuu wadu 	commercial 	minor commercial 
Perciformes	Serranidae	Aethaloperca rogaa	native 	Redmouth grouper 	Geurape itam 	minor commercial 	minor commercial 
Myliobatiformes	Aetobatidae	Aetobatus flagellum	native 	Longheaded eagle ray 	Pari burung 	minor commercial 	minor commercial 
Myliobatiformes	Aetobatidae	Aetobatus narinari	native 	Whitespotted eagle ray 	Pari burung 	minor commercial 	minor commercial 
Myliobatiformes	Myliobatidae	Aetomylaeus nichofii	native 	Banded eagle ray 	Pari burung 	minor commercial 	minor commercial 
Albuliformes	Albulidae	Albula glossodonta	native 	Roundjaw bonefish 	 	minor commercial 	minor commercial 
Perciformes	Carangidae	Alectis ciliaris	native 	African pompano 	Ikan rambut 	minor commercial 	minor commercial 
Perciformes	Carangidae	Alectis indica	native 	Indian threadfish 	Kwee rombeh 	commercial 	commercial 
Perciformes	Carangidae	Alepes djedaba	native 	Shrimp scad 	Bagat 	commercial 	commercial 
Perciformes	Carangidae	Alepes kleinii	native 	Razorbelly scad 	 	minor commercial 	minor commercial 
Perciformes	Carangidae	Alepes melanoptera	native 	Blackfin scad 	Selar ubur-ubur 	minor commercial 	minor commercial 
Perciformes	Carangidae	Alepes vari	native 	Herring scad 	Trevally scad 	minor commercial 	minor commercial 
Lamniformes	Alopiidae	Alopias vulpinus	native 	Thresher 	 	commercial 	commercial 
Perciformes	Ambassidae	Ambassis gymnocephalus	native 	Bald glassy 	Pangkah 	minor commercial 	minor commercial 
Perciformes	Ambassidae	Ambassis interrupta	native 	Long-spined glass perchlet 	Serinding 	minor commercial 	minor commercial 
Clupeiformes	Clupeidae	Amblygaster clupeoides	native 	Bleeker smoothbelly sardinella 	Cincin 	commercial 	commercial 
Clupeiformes	Clupeidae	Amblygaster leiogaster	native 	Smoothbelly sardinella 	Lemuru 	subsistence fisheries 	subsistence fisheries 
Clupeiformes	Clupeidae	Amblygaster sirm	native 	Spotted sardinella 	Siro 	minor commercial 	commercial 
Perciformes	Pomacentridae	Amphiprion clarkii	native 	Yellowtail clownfish 	Giro pasir biasa 	subsistence fisheries 	subsistence fisheries 
Perciformes	Pomacentridae	Amphiprion melanopus	native 	Fire clownfish 	Black anemonefish 	subsistence fisheries 	subsistence fisheries 
Perciformes	Anabantidae	Anabas testudineus	native Climbing perch	Betok	commercial	commercial 
Anguilliformes	Anguillidae	Anguilla bicolor	native 	Indonesian shortfin eel 	 	commercial 	minor commercial 
Anguilliformes	Anguillidae	Anguilla celebesensis	native 	Celebes longfin eel 	Menguling 	commercial 	minor commercial 
Anguilliformes	Anguillidae	Anguilla marmorata	native 	Giant mottled eel 	Moa kembang 	commercial 	commercial 
Clupeiformes	Clupeidae	Anodontostoma chacunda	native 	Chacunda gizzard shad 	Selangkat 	commercial 	commercial 
Clupeiformes	Clupeidae	Anodontostoma selangkat	native 	Indonesian gizzard shad 	 	subsistence fisheries 	subsistence fisheries 
Clupeiformes	Clupeidae	Anodontostoma thailandiae	native 	Thai gizzard shad 	 	subsistence fisheries 	subsistence fisheries 
Rhinopristiformes	Pristidae	Anoxypristis cuspidata	native 	Pointed sawfish 	Cucut gergaji 	commercial 	commercial 
Perciformes	Serranidae	Anyperodon leucogrammicus	native 	Slender grouper 	Kiapu tallah 	minor commercial 	minor commercial 
Perciformes	Lutjanidae	Aphareus furca	native 	Small toothed jobfish 	Kurus bali 	commercial 	commercial 
Perciformes	Lutjanidae	Aphareus rutilans	native 	Rusty jobfish 	Cangah 	commercial 	commercial 
Scorpaeniformes	Apistidae	Apistus carinatus	native 	Ocellated waspfish 	Longfin waspfish 	minor commercial 	minor commercial 
Cyprinodontiformes	Aplocheilidae	Aplocheilus panchax	native 	Blue panchax 	Kepala timah 	commercial 	minor commercial 
Perciformes	Lutjanidae	Aprion virescens	native 	Green jobfish 	Ikan agam 	highly commercial 	highly commercial 
Perciformes	Sparidae	Argyrops spinifer	native 	King soldier bream 	Abat 	commercial 	commercial 
Perciformes	Sciaenidae	Argyrosomus amoyensis	native 	Amoy croaker 	 	commercial 	commercial 
Perciformes	Ariommatidae	Ariomma indicum	native 	Indian driftfish 	 	commercial 	commercial 
Siluriformes	Ariidae	Arius maculatus	native 	Spotted catfish 	Lundu 	commercial 	commercial 
Siluriformes	Ariidae	Arius venosus	native 	Veined catfish 	Duri manyung 	commercial 	commercial 
Perciformes	Sciaenidae	Aspericorvina jubata	native 	Prickly croaker 	 	commercial 	minor commercial 
Carcharhiniformes	Scyliorhinidae	Atelomycterus marmoratus	native 	Coral catshark 	Cucut kembang 	minor commercial 	subsistence fisheries 
Perciformes	Sciaenidae	Atrobucca nibe	native 	Blackmouth croaker 	 	commercial 	commercial 
Perciformes	Carangidae	Atropus atropos	native 	Cleftbelly trevally 	Cipa-cipa 	minor commercial 	minor commercial 
Perciformes	Carangidae	Atule mate	native 	Yellowtail scad 	Selar como 	minor commercial 	minor commercial 
Perciformes	Leiognathidae	Aurigequula fasciata	native 	Striped ponyfish 	Peperek 	commercial 	minor commercial 
Perciformes	Scombridae	Auxis rochei	native 	Bullet tuna 	Curubok 	highly commercial 	highly commercial 
Perciformes	Scombridae	Auxis thazard	native 	Frigate tuna 	Alalalum 	highly commercial 	highly commercial 
Siluriformes	Sisoridae	Bagarius bagarius	native 	Goonch 	Kelaling 	minor commercial 	minor commercial 
Siluriformes	Bagridae	Bagrichthys hypselopterus	native 	Blacklancer catfish 	Baung layar 	commercial 	commercial 
Siluriformes	Bagridae	Bagrichthys macropterus	native 	False black lancer 	Ikan pisang 	commercial 	commercial 
Tetraodontiformes	Balistidae	Balistoides conspicillum	native 	Clown triggerfish 	Triger kembang 	subsistence fisheries 	minor commercial 
Cypriniformes	Cyprinidae	Barbodes binotatus	native 	Spotted barb 	Bada putiah 	commercial 	minor commercial 
Cypriniformes	Cyprinidae	Barbonymus gonionotus	native 	Silver barb 	Bader putihan 	commercial 	commercial 
Cypriniformes	Cyprinidae	Barbonymus schwanenfeldii	native 	Tinfoil barb 	Ikan lempam 	subsistence fisheries 	subsistence fisheries 
Perciformes	Osphronemidae	Belontia hasselti	native 	Malay combtail 	Ketoprak 	commercial 	commercial 
Perciformes	Osphronemidae	Betta anabatoides	native 	Giant betta 	Melantau 	minor commercial 	minor commercial 
Pleuronectiformes	Bothidae	Bothus pantherinus	native 	Leopard flounder 	Ikan sebelah bundar 	commercial 	commercial 
Pleuronectiformes	Soleidae	Brachirus orientalis	native 	Oriental sole 	 	commercial 	commercial 
Perciformes	Caesionidae	Caesio caerulaurea	native 	Blue and gold fusilier 	Andau 	commercial 	commercial 
Perciformes	Caesionidae	Caesio cuning	native 	Redbelly yellowtail fusilier 	Ekor kuning 	commercial 	commercial 
Perciformes	Caesionidae	Caesio lunaris	native 	Lunar fusilier 	Pisang-pisang 	minor commercial 	minor commercial 
Perciformes	Caesionidae	Caesio teres	native 	Yellow and blueback fusilier 	Antuan 	minor commercial 	minor commercial 
Perciformes	Caesionidae	Caesio varilineata	native 	Variable-lined fusilier 	Thin-lined fusilier 	minor commercial 	minor commercial 
Perciformes	Caesionidae	Caesio xanthonota	native 	Yellowback fusilier 	Antuan 	minor commercial 	minor commercial 
Perciformes	Carangidae	Carangoides armatus	native 	Longfin trevally 	Kwee 	minor commercial 	commercial 
Perciformes	Carangidae	Carangoides bajad	native 	Orangespotted trevally 	Kwee tutul 	commercial 	commercial 
Perciformes	Carangidae	Carangoides chrysophrys	native 	Longnose trevally 	Kwee 	commercial 	commercial 
Perciformes	Carangidae	Carangoides coeruleopinnatus	native 	Coastal trevally 	Simba-simba lili bonua 	commercial 	minor commercial 
Perciformes	Carangidae	Carangoides dinema	native 	Shadow trevally 	Kwee 	commercial 	minor commercial 
Perciformes	Carangidae	Carangoides ferdau	native 	Blue trevally 	Nyubba biasa 	minor commercial 	commercial 
Perciformes	Carangidae	Carangoides fulvoguttatus	native 	Yellowspotted trevally 	Kwee macan 	commercial 	commercial 
Perciformes	Carangidae	Carangoides gymnostethus	native 	Bludger 	Kwee lilin 	commercial 	commercial 
Perciformes	Carangidae	Carangoides hedlandensis	native 	Bumpnose trevally 	 	minor commercial 	commercial 
Perciformes	Carangidae	Carangoides humerosus	native 	Duskyshoulder trevally 	 	subsistence fisheries 	subsistence fisheries 
Perciformes	Carangidae	Carangoides malabaricus	native 	Malabar trevally 	Kuweh 	commercial 	commercial 
Perciformes	Carangidae	Carangoides oblongus	native 	Coachwhip trevally 	Kwee 	minor commercial 	commercial 
Perciformes	Carangidae	Carangoides orthogrammus	native 	Island trevally 	Pipilli 	minor commercial 	commercial 
Perciformes	Carangidae	Carangoides plagiotaenia	native 	Barcheek trevally 	Bar-cheek trevally 	commercial 	minor commercial 
Perciformes	Carangidae	Carangoides praeustus	native 	Brownback trevally 	Selar malam 	minor commercial 	commercial 
Perciformes	Carangidae	Carangoides talamparoides	native 	Imposter trevally 	 	minor commercial 	commercial 
Perciformes	Carangidae	Caranx bucculentus	native 	Bluespotted trevally 	 	minor commercial 	minor commercial 
Perciformes	Carangidae	Caranx heberi	native 	Blacktip trevally 	Black-tip trevally 	minor commercial 	minor commercial 
Perciformes	Carangidae	Caranx ignobilis	native 	Giant trevally 	Gapok 	commercial 	commercial 
Perciformes	Carangidae	Caranx melampygus	native 	Bluefin trevally 	Cá Khế vây đen 	commercial 	commercial 
Perciformes	Carangidae	Caranx papuensis	native 	Brassy trevally 	Nyubba langko kape 	minor commercial 	minor commercial 
Perciformes	Carangidae	Caranx sexfasciatus	native 	Bigeye trevally 	Selar 	commercial 	commercial 
Perciformes	Carangidae	Caranx tille	native 	Tille trevally 	Gabu 	minor commercial 	minor commercial 
Carcharhiniformes	Carcharhinidae	Carcharhinus amblyrhynchoides	native 	Graceful shark 	Cucut lanjaman 	minor commercial 	minor commercial 
Carcharhiniformes	Carcharhinidae	Carcharhinus amboinensis	native 	Pigeye shark 	Mongiwa 	minor commercial 	minor commercial 
Carcharhiniformes	Carcharhinidae	Carcharhinus brevipinna	native 	Spinner shark 	Cucut lanjaman 	commercial 	commercial 
Carcharhiniformes	Carcharhinidae	Carcharhinus dussumieri	questionable 	Whitecheek shark 	Cucut lanjaman 	commercial 	commercial 
Carcharhiniformes	Carcharhinidae	Carcharhinus hemiodon	native 	Pondicherry shark 	 	subsistence fisheries 	subsistence fisheries 
Carcharhiniformes	Carcharhinidae	Carcharhinus leucas	native 	Bull shark 	Cucut bekeman 	commercial 	commercial 
Carcharhiniformes	Carcharhinidae	Carcharhinus limbatus	native 	Blacktip shark 	Cucut lanjaman 	commercial 	commercial 
Carcharhiniformes	Carcharhinidae	Carcharhinus longimanus	native 	Oceanic whitetip shark 	Cucut koboy 	commercial 	commercial 
Carcharhiniformes	Carcharhinidae	Carcharhinus macloti	native 	Hardnose shark 	Hiu aron 	commercial 	minor commercial 
Carcharhiniformes	Carcharhinidae	Carcharhinus melanopterus	native 	Blacktip reef shark 	Anak hiu 	commercial 	commercial 
Carcharhiniformes	Carcharhinidae	Carcharhinus plumbeus	native 	Sandbar shark 	Cucut lanjaman 	commercial 	commercial 
Carcharhiniformes	Carcharhinidae	Carcharhinus sealei	native 	Blackspot shark 	Cucut lanjaman 	commercial 	commercial 
Carcharhiniformes	Carcharhinidae	Carcharhinus sorrah	native 	Spot-tail shark 	Cucut lanjaman 	commercial 	minor commercial 
Perciformes	Pomacanthidae	Centropyge bicolor	native 	Bicolor angelfish 	Angel biru kuning 	subsistence fisheries 	subsistence fisheries 
Perciformes	Pomacanthidae	Centropyge bispinosa	native 	Twospined angelfish 	Angel kenedy 	subsistence fisheries 	subsistence fisheries 
Perciformes	Pomacanthidae	Centropyge vrolikii	native 	Pearlscale angelfish 	Angel abu polos 	subsistence fisheries 	subsistence fisheries 
Perciformes	Serranidae	Cephalopholis argus	native 	Peacock hind 	Geurape brinchek itam 	commercial 	commercial 
Perciformes	Serranidae	Cephalopholis aurantia	native 	Golden hind 	Kiapu mira 	minor commercial 	minor commercial 
Perciformes	Serranidae	Cephalopholis boenak	native 	Chocolate hind 	Bandih 	subsistence fisheries 	subsistence fisheries 
Perciformes	Serranidae	Cephalopholis cyanostigma	native 	Bluespotted hind 	Kerapu karang 	minor commercial 	minor commercial 
Perciformes	Serranidae	Cephalopholis formosa	native 	Bluelined hind 	Blue-lined rock cod 	subsistence fisheries 	subsistence fisheries 
Perciformes	Serranidae	Cephalopholis microprion	native 	Freckled hind 	Blue-finned rock cod 	minor commercial 	minor commercial 
Perciformes	Serranidae	Cephalopholis miniata	native 	Coral hind 	Sunu merah 	commercial 	commercial 
Perciformes	Serranidae	Cephalopholis polleni	native 	Harlequin hind 	Gerape 	subsistence fisheries 	subsistence fisheries 
Perciformes	Serranidae	Cephalopholis sexmaculata	native 	Sixblotch hind 	Saddled rock cod 	subsistence fisheries 	subsistence fisheries 
Perciformes	Serranidae	Cephalopholis sonnerati	native 	Tomato hind 	Geurape pandak 	commercial 	commercial 
Perciformes	Serranidae	Cephalopholis spiloparaea	native 	Strawberry hind 	Kiapu mira polos 	minor commercial 	minor commercial 
Perciformes	Serranidae	Cephalopholis urodeta	native 	Darkfin hind 	Kerapu 	subsistence fisheries 	subsistence fisheries 
Carcharhiniformes	Hemigaleidae	Chaenogaleus macrostoma	native 	Hooktooth shark 	Hiu kacang 	commercial 	minor commercial 
Perciformes	Chaetodontidae	Chaetodon kleinii	native 	Sunburst butterflyfish 	Kepe orange 	subsistence fisheries 	subsistence fisheries 
Perciformes	Channidae	Channa bankanensis	native 	 	Runtuk 	commercial 	commercial 
Perciformes	Channidae	Channa cyanospilos	native 	 	 	commercial 	commercial 
Perciformes	Channidae	Channa lucius	native 	 	Runtuk 	commercial 	commercial 
Perciformes	Channidae	Channa marulioides	native 	 	Piyang 	minor commercial 	minor commercial 
Perciformes	Channidae	Channa melasoma	native 	Black snakehead 	 	commercial 	commercial 
Perciformes	Channidae	Channa micropeltes	native 	Indonesian snakehead 	Kamal fish 	commercial 	commercial 
Perciformes	Channidae	Channa pleurophthalma	native 	 	Ocellated snakehead 	commercial 	commercial 
Perciformes	Channidae	Channa striata	native 	Striped snakehead 	Aruwan 	commercial 	highly commercial 
Gonorynchiformes	Chanidae	Chanos chanos	native 	Milkfish 	Bandeng 	highly commercial 	highly commercial 
Pleuronectiformes	Bothidae	Chascanopsetta lugubris	native 	Pelican flounder 	 	commercial 	commercial 
Perciformes	Labridae	Cheilinus undulatus	native 	Humphead wrasse 	Napoleon 	commercial 	minor commercial 
Mugiliformes	Mugilidae	Chelon planiceps	native 	Tade gray mullet 	Belanak sipit 	commercial 	commercial 
Orectolobiformes	Hemiscylliidae	Chiloscyllium griseum	native 	Grey bambooshark 	 	commercial 	commercial 
Orectolobiformes	Hemiscylliidae	Chiloscyllium indicum	native 	Slender bambooshark 	Cucut tekeh 	commercial 	commercial 
Orectolobiformes	Hemiscylliidae	Chiloscyllium punctatum	native 	Brownbanded bambooshark 	Mungsing hiu 	commercial 	commercial 
Clupeiformes	Chirocentridae	Chirocentrus dorab	native 	Dorab wolf-herring 	Bale bale 	commercial 	commercial 
Clupeiformes	Chirocentridae	Chirocentrus nudus	native 	Whitefin wolf-herring 	 	highly commercial 	highly commercial 
Osteoglossiformes	Notopteridae	Chitala hypselonotus	native 	 	Belida 	commercial 	commercial 
Aulopiformes	Chlorophthalmidae	Chlorophthalmus agassizi	native 	Shortnose greeneye 	 	commercial 	minor commercial 
Perciformes	Pomacentridae	Chromis atripectoralis	native 	Black-axil chromis 	Blue-green puller 	subsistence fisheries 	subsistence fisheries 
Cypriniformes	Cobitidae	Chromobotia macracanthus	endemic 	Clown loach 	Entebering 	minor commercial 	minor commercial 
Perciformes	Sciaenidae	Chrysochir aureus	native 	Reeve's croaker 	 	commercial 	minor commercial 
Cypriniformes	Cyprinidae	Cirrhinus molitorella	not established 	Mud carp 	 	commercial 	commercial 
Siluriformes	Clariidae	Clarias batrachus	native 	Philippine catfish 	Ikan lele 	commercial 	commercial 
Siluriformes	Clariidae	Clarias gariepinus	introduced 	North African catfish 	 	minor commercial 	minor commercial 
Clupeiformes	Clupeidae	Clupeichthys bleekeri	native 	Kapuas river sprat 	Bilis 	subsistence fisheries 	subsistence fisheries 
Clupeiformes	Clupeidae	Clupeichthys goniognathus	native 	Sumatran river sprat 	Bilis tamban 	subsistence fisheries 	subsistence fisheries 
Clupeiformes	Clupeidae	Clupeoides borneensis	native 	Borneo river sprat 	Bilis 	subsistence fisheries 	subsistence fisheries 
Clupeiformes	Clupeidae	Clupeoides hypselosoma	native 	Kalimantan river sprat 	 	subsistence fisheries 	subsistence fisheries 
Clupeiformes	Clupeidae	Clupeoides papuensis	native 	Papuan river sprat 	 	subsistence fisheries 	subsistence fisheries 
Clupeiformes	Clupeidae	Clupeoides venulosus	native 	West Irian river sprat 	 	subsistence fisheries 	subsistence fisheries 
Clupeiformes	Engraulidae	Coilia coomansi	native 	Cooman's grenadier anchovy 	Sampu layang 	subsistence fisheries 	subsistence fisheries 
Clupeiformes	Engraulidae	Coilia dussumieri	native 	Goldspotted grenadier anchovy 	Mangban 	commercial 	commercial 
Clupeiformes	Engraulidae	Coilia lindmani	native 	Lindman's grenadier anchovy 	 	subsistence fisheries 	subsistence fisheries 
Clupeiformes	Engraulidae	Coilia macrognathos	native 	Longjaw grenadier anchovy 	Gunjing 	subsistence fisheries 	commercial 
Clupeiformes	Engraulidae	Coilia neglecta	native 	Neglected grenadier anchovy 	 	subsistence fisheries 	subsistence fisheries 
Clupeiformes	Engraulidae	Coilia rebentischii	native 	Many-fingered grenadier anchovy 	 	subsistence fisheries 	subsistence fisheries 
Anguilliformes	Muraenesocidae	Congresox talabon	native 	Yellow pike conger 	Remang 	minor commercial 	minor commercial 
Anguilliformes	Muraenesocidae	Congresox talabonoides	native 	Indian pike conger 	 	commercial 	commercial 
Clupeiformes	Clupeidae	Corica laciniata	native 	Bangkok river sprat 	 	subsistence fisheries 	subsistence fisheries 
Clupeiformes	Clupeidae	Corica soborna	native 	Ganges river sprat 	 	subsistence fisheries 	subsistence fisheries 
Perciformes	Coryphaenidae	Coryphaena equiselis	native 	Pompano dolphinfish 	 	commercial 	minor commercial 
Perciformes	Coryphaenidae	Coryphaena hippurus	native 	Common dolphinfish 	Lemadang 	commercial 	highly commercial 
Cypriniformes	Cyprinidae	Cosmochilus falcifer	native 	 	 	commercial 	minor commercial 
Perciformes	Serranidae	Cromileptes altivelis	native 	Humpback grouper 	Kko 	commercial 	commercial 
Cypriniformes	Cyprinidae	Ctenopharyngodon idella	introduced 	Grass carp 	Tonggan 	highly commercial 	minor commercial 
Cypriniformes	Cyprinidae	Cyclocheilichthys apogon	native 	Beardless barb 	Engkaras 	commercial 	commercial 
Cypriniformes	Cyprinidae	Cyclocheilichthys enoplos	native 	 	Badjang 	commercial 	commercial 
Pleuronectiformes	Cynoglossidae	Cynoglossus arel	native 	Largescale tonguesole 	Ikan Lidah 	commercial 	commercial 
Pleuronectiformes	Cynoglossidae	Cynoglossus bilineatus	native 	Fourlined tonguesole 	Lidah lumpur 	commercial 	commercial 
Pleuronectiformes	Cynoglossidae	Cynoglossus cynoglossus	native 	Bengal tongue sole 	 	commercial 	commercial 
Pleuronectiformes	Cynoglossidae	Cynoglossus lida	native 	Roughscale tonguesole 	Ikan Lidah 	minor commercial 	minor commercial 
Pleuronectiformes	Cynoglossidae	Cynoglossus lingua	native 	Long tongue sole 	Akpaak 	commercial 	commercial 
Pleuronectiformes	Cynoglossidae	Cynoglossus puncticeps	native 	Speckled tonguesole 	Lempa 	commercial 	commercial 
Cypriniformes	Cyprinidae	Cyprinus carpio	introduced 	Common carp 	Ihan mas 	highly commercial 	highly commercial 
Beloniformes	Exocoetidae	Cypselurus oligolepis	native 	Largescale flyingfish 	 	minor commercial 	minor commercial 
Beloniformes	Exocoetidae	Cypselurus opisthopus	native 	Black-finned flyingfish 	 	minor commercial 	minor commercial 
Beloniformes	Exocoetidae	Cypselurus poecilopterus	native 	Yellowing flyingfish 	Antoni 	minor commercial 	minor commercial 
Perciformes	Datnioididae	Datnioides polota	native 	 	 	commercial 	commercial 
Perciformes	Carangidae	Decapterus kurroides	native 	Redtail scad 	Malalugis 	commercial 	commercial 
Perciformes	Carangidae	Decapterus macarellus	native 	Mackerel scad 	Mackerel scad 	commercial 	commercial 
Perciformes	Carangidae	Decapterus macrosoma	native 	Shortfin scad 	Bengol deles 	commercial 	commercial 
Perciformes	Carangidae	Decapterus russelli	native 	Indian scad 	Julung-julung 	commercial 	highly commercial 
Perciformes	Sciaenidae	Dendrophysa russelii	native 	Goatee croaker 	Lemah 	minor commercial 	minor commercial 
Perciformes	Sparidae	Dentex tumifrons	questionable 	Yellowback seabream 	 	commercial 	commercial 
Beloniformes	Zenarchopteridae	Dermogenys pusilla	native 	Wrestling halfbeak 	Julung-julung 	commercial 	minor commercial 
Cypriniformes	Cyprinidae	Desmopuntius johorensis	native 	Striped barb 	Seluang 	commercial 	commercial 
Perciformes	Haemulidae	Diagramma pictum	native 	Painted sweetlips 	Gajih 	commercial 	commercial 
Perciformes	Caesionidae	Dipterygonotus balteatus	native 	Mottled fusilier 	Bileh apui 	minor commercial 	minor commercial 
Perciformes	Drepaneidae	Drepane punctata	native 	Spotted sicklefish 	Ang saang 	commercial 	commercial 
Clupeiformes	Dussumieriidae	Dussumieria acuta	native 	Rainbow sardine 	Japuh 	commercial 	highly commercial 
Clupeiformes	Dussumieriidae	Dussumieria elopsoides	native 	Slender rainbow sardine 	Tembang bines 	minor commercial 	minor commercial 
Anguilliformes	Muraenidae	Echidna nebulosa	native 	Starry moray 	Apate 	subsistence fisheries 	minor commercial 
Scorpaeniformes	Setarchidae	Ectreposebastes imus	native 	Midwater scorpionfish 	 	minor commercial 	minor commercial 
Perciformes	Carangidae	Elagatis bipinnulata	native 	Rainbow runner 	Cumok 	commercial 	highly commercial 
Perciformes	Polynemidae	Eleutheronema tetradactylum	native 	Fourfinger threadfin 	Kurau 	commercial 	highly commercial 
Elopiformes	Elopidae	Elops machnata	native 	Tenpounder 	 	commercial 	commercial 
Clupeiformes	Engraulidae	Encrasicholina devisi	native 	Devis' anchovy 	 	minor commercial 	minor commercial 
Clupeiformes	Engraulidae	Encrasicholina heteroloba	native 	Shorthead anchovy 	Ainama 	minor commercial 	minor commercial 
Clupeiformes	Engraulidae	Encrasicholina punctifer	native 	Buccaneer anchovy 	 	minor commercial 	minor commercial 
Clupeiformes	Engraulidae	Engraulis japonicus	native 	Japanese anchovy 	Ikan putih 	highly commercial 	highly commercial 
Pleuronectiformes	Bothidae	Engyprosopon grandisquama	native 	Largescale flounder 	 	commercial 	commercial 
Perciformes	Ephippidae	Ephippus orbis	native 	Orbfish 	Gandu 	commercial 	commercial 
Perciformes	Serranidae	Epinephelus amblycephalus	native 	Banded grouper 	 	minor commercial 	minor commercial 
Perciformes	Serranidae	Epinephelus areolatus	native 	Areolate grouper 	Gerape bandi 	commercial 	commercial 
Perciformes	Serranidae	Epinephelus bleekeri	native 	Duskytail grouper 	Babunjai 	minor commercial 	minor commercial 
Perciformes	Serranidae	Epinephelus coeruleopunctatus	native 	Whitespotted grouper 	Geurape karet 	minor commercial 	minor commercial 
Perciformes	Serranidae	Epinephelus coioides	native 	Orange-spotted grouper 	Geurape kuneng 	commercial 	commercial 
Perciformes	Serranidae	Epinephelus corallicola	native 	Coral grouper 	Kerapu belosoh 	subsistence fisheries 	subsistence fisheries 
Perciformes	Serranidae	Epinephelus cyanopodus	native 	Speckled blue grouper 	Lumu tarunsang 	minor commercial 	minor commercial 
Perciformes	Serranidae	Epinephelus epistictus	native 	Dotted grouper 	 	minor commercial 	minor commercial 
Perciformes	Serranidae	Epinephelus erythrurus	native 	Cloudy grouper 	Cloudy rock cod 	minor commercial 	minor commercial 
Perciformes	Serranidae	Epinephelus fasciatus	native 	Blacktip grouper 	Geurape bungong kala 	commercial 	commercial 
Perciformes	Serranidae	Epinephelus faveatus	native 	Barred-chest grouper 	 	commercial 	commercial 
Perciformes	Serranidae	Epinephelus flavocaeruleus	native 	Blue-and-yellow grouper 	Geurape kuneng 	commercial 	commercial 
Perciformes	Serranidae	Epinephelus fuscoguttatus	native 	Brown-marbled grouper 	Kerapu macan 	minor commercial 	minor commercial 
Perciformes	Serranidae	Epinephelus heniochus	native 	Bridled grouper 	 	commercial 	commercial 
Perciformes	Serranidae	Epinephelus lanceolatus	native 	Giant grouper 	Kerapu lumpur 	subsistence fisheries 	subsistence fisheries 
Perciformes	Serranidae	Epinephelus longispinis	native 	Longspine grouper 	Long-spine rock cod 	commercial 	commercial 
Perciformes	Serranidae	Epinephelus macrospilos	native 	Snubnose grouper 	Snubnose rock cod 	commercial 	commercial 
Perciformes	Serranidae	Epinephelus maculatus	native 	Highfin grouper 	Kiapu nyarengkeh 	minor commercial 	minor commercial 
Perciformes	Serranidae	Epinephelus malabaricus	native 	Malabar grouper 	Kerapu lumpar 	highly commercial 	highly commercial 
Perciformes	Serranidae	Epinephelus melanostigma	native 	One-blotch grouper 	Black-spot grouper 	subsistence fisheries 	subsistence fisheries 
Perciformes	Serranidae	Epinephelus merra	native 	Honeycomb grouper 	Geurape musang 	commercial 	commercial 
Perciformes	Serranidae	Epinephelus miliaris	native 	Netfin grouper 	Kiapu nyarengkeh 	minor commercial 	minor commercial 
Perciformes	Serranidae	Epinephelus morrhua	native 	Comet grouper 	Kiapu kokoro 	minor commercial 	minor commercial 
Perciformes	Serranidae	Epinephelus ongus	native 	White-streaked grouper 	White-speckled rock cod 	minor commercial 	minor commercial 
Perciformes	Serranidae	Epinephelus polyphekadion	native 	Camouflage grouper 	Kiapu ngaluhu 	commercial 	commercial 
Perciformes	Serranidae	Epinephelus polystigma	native 	White-dotted grouper 	 	subsistence fisheries 	subsistence fisheries 
Perciformes	Serranidae	Epinephelus quoyanus	native 	Longfin grouper 	Kerapu tutul 	commercial 	commercial 
Perciformes	Serranidae	Epinephelus retouti	native 	Red-tipped grouper 	 	subsistence fisheries 	subsistence fisheries 
Perciformes	Serranidae	Epinephelus rivulatus	native 	Halfmoon grouper 	 	minor commercial 	minor commercial 
Perciformes	Serranidae	Epinephelus sexfasciatus	native 	Sixbar grouper 	Balang 	commercial 	commercial 
Perciformes	Serranidae	Epinephelus spilotoceps	native 	Foursaddle grouper 	 	commercial 	commercial 
Perciformes	Serranidae	Epinephelus stictus	native 	Black-dotted grouper 	 	minor commercial 	minor commercial 
Perciformes	Serranidae	Epinephelus undulosus	native 	Wavy-lined grouper 	Wavy-lined rock cod 	minor commercial 	minor commercial 
Perciformes	Leiognathidae	Equulites leuciscus	native 	Whipfin ponyfish 	Highfin ponyfish 	minor commercial 	commercial 
Clupeiformes	Clupeidae	Escualosa thoracata	native 	White sardine 	Cancang 	commercial 	commercial 
Perciformes	Lutjanidae	Etelis carbunculus	native 	Deep-water red snapper 	Langkuabo mira 	highly commercial 	highly commercial 
Perciformes	Lutjanidae	Etelis coruscans	native 	Deepwater longtail red snapper 	 	highly commercial 	highly commercial 
Perciformes	Lutjanidae	Etelis radiosus	native 	Pale snapper 	Langkuabo 	minor commercial 	minor commercial 
Perciformes	Leiognathidae	Eubleekeria splendens	native 	Splendid ponyfish 	Bondol 	commercial 	commercial 
Perciformes	Trichiuridae	Eupleurogrammus glossodon	native 	Longtooth hairtail 	 	commercial 	commercial 
Perciformes	Trichiuridae	Eupleurogrammus muticus	native 	Smallhead hairtail 	Jogor 	commercial 	commercial 
