Order	Family	Species	Occurrence	FishBase name	Name	Danger
Scorpaeniformes	Scorpaenidae	Sebastapistes cyanostigma	native 	Yellowspotted scorpionfish 	Coral scorpionfish 	venomous 
Scorpaeniformes	Scorpaenidae	Sebastapistes fowleri	native 	Pigmy scorpionfish 	 	venomous 
Scorpaeniformes	Scorpaenidae	Sebastapistes mauritiana	native 	Spineblotch scorpionfish 	 	venomous 
Scorpaeniformes	Scorpaenidae	Sebastapistes strongia	native 	Barchin scorpionfish 	Barchin scorpionfish 	venomous 
Perciformes	Carangidae	Selar crumenophthalmus	native 	Bigeye scad 	Selar bentong 	reports of ciguatera poisoning 
Perciformes	Scatophagidae	Selenotoca multifasciata	native 	Spotbanded scat 	Striped scat 	venomous 
Perciformes	Carangidae	Seriola dumerili	native 	Greater amberjack 	 	reports of ciguatera poisoning 
Perciformes	Carangidae	Seriola rivoliana	native 	Longfin yellowtail 	Longfin kingfish 	reports of ciguatera poisoning 
Scorpaeniformes	Setarchidae	Setarches guentheri	native 	Channeled rockfish 	 	venomous 
Scorpaeniformes	Setarchidae	Setarches longimanus	native 	Red deepwater scorpionfish 	 	venomous 
Perciformes	Siganidae	Siganus argenteus	native 	Streamlined spinefoot 	Belowis silah 	venomous 
Perciformes	Siganidae	Siganus canaliculatus	native 	White-spotted spinefoot 	Bala uwes 	venomous 
Perciformes	Siganidae	Siganus corallinus	native 	Blue-spotted spinefoot 	Indian coral rabbitfish 	venomous 
Perciformes	Siganidae	Siganus doliatus	native 	Barred spinefoot 	Samadar 	venomous 
Perciformes	Siganidae	Siganus fuscescens	native 	Mottled spinefoot 	Madar 	venomous 
Perciformes	Siganidae	Siganus guttatus	native 	Orange-spotted spinefoot 	Mulia asu 	venomous 
Perciformes	Siganidae	Siganus javus	native 	Streaked spinefoot 	Beronang 	venomous 
Perciformes	Siganidae	Siganus labyrinthodes	native 	Labyrinth spinefoot 	Labyrinth rabbitfish 	venomous 
Perciformes	Siganidae	Siganus lineatus	native 	Golden-lined spinefoot 	Masadar karang 	venomous 
Perciformes	Siganidae	Siganus puellus	native 	Masked spinefoot 	Borona makuri 	venomous 
Perciformes	Siganidae	Siganus punctatus	native 	Goldspotted spinefoot 	Ikan baronang 	venomous 
Perciformes	Siganidae	Siganus spinus	native 	Little spinefoot 	Belowis kangkang 	venomous 
Perciformes	Siganidae	Siganus stellatus	native 	Brown-spotted spinefoot 	 	venomous 
Perciformes	Siganidae	Siganus sutor	native 	Shoemaker spinefoot 	 	venomous 
Perciformes	Siganidae	Siganus vermiculatus	native 	Vermiculated spinefoot 	Beronang tulis 	venomous 
Perciformes	Siganidae	Siganus virgatus	native 	Barhead spinefoot 	Samadar palsu 	venomous 
Perciformes	Siganidae	Siganus vulpinus	native 	Foxface 	Samadar cecet 	venomous 
Perciformes	Sphyraenidae	Sphyraena barracuda	native 	Great barracuda 	Alu-alu 	traumatogenic 
Perciformes	Sphyraenidae	Sphyraena forsteri	native 	Bigeye barracuda 	Alu-alu 	reports of ciguatera poisoning 
Perciformes	Sphyraenidae	Sphyraena jello	native 	Pickhandle barracuda 	Alu-alu 	reports of ciguatera poisoning 
Perciformes	Sphyraenidae	Sphyraena qenie	native 	Blackfin barracuda 	Alu-alu 	reports of ciguatera poisoning 
Carcharhiniformes	Sphyrnidae	Sphyrna lewini	native 	Scalloped hammerhead 	Hiu bingkoh 	other 
Carcharhiniformes	Sphyrnidae	Sphyrna mokarran	native 	Great hammerhead 	Hiu bingkoh 	other 
Perciformes	Pomacentridae	Stegastes nigricans	native 	Dusky farmerfish 	Dusky gregory 	traumatogenic 
Perciformes	Pomacentridae	Stegastes punctatus	native 	Blunt snout gregory 	 	traumatogenic 
Orectolobiformes	Stegostomatidae	Stegostoma fasciatum	native 	Zebra shark 	Cucut tekeh 	traumatogenic 
Beloniformes	Belonidae	Strongylura krefftii	native 	Long tom 	 	traumatogenic 
Anguilliformes	Muraenidae	Strophidon sathete	native 	Slender giant moray 	 	traumatogenic 
Perciformes	Lutjanidae	Symphorus nematophorus	native 	Chinamanfish 	Baga 	reports of ciguatera poisoning 
Scorpaeniformes	Synanceiidae	Synanceia horrida	native 	Estuarine stonefish 	Lepu tembaga 	venomous 
Scorpaeniformes	Synanceiidae	Synanceia verrucosa	native 	Stonefish 	Ikan batu 	venomous 
Scorpaeniformes	Scorpaenidae	Taenianotus triacanthus	native 	Leaf scorpionfish 	Paper scorpionfish 	venomous 
Myliobatiformes	Dasyatidae	Taeniura lymma	native 	Ribbontail stingray 	Ikan pari 	venomous 
Myliobatiformes	Dasyatidae	Taeniurops meyeni	native 	Round ribbontail ray 	Pari babi 	venomous 
Scorpaeniformes	Tetrarogidae	Tetraroge barbata	native 	Bearded roguefish 	 	venomous 
Scorpaeniformes	Tetrarogidae	Tetraroge niger	native 	 	 	venomous 
Tetraodontiformes	Ostraciidae	Tetrosomus gibbosus	native 	Humpback turretfish 	Kapila 	venomous 
Tetraodontiformes	Ostraciidae	Tetrosomus reipublicae	native 	Smallspine turretfish 	 	venomous 
Tetraodontiformes	Tetraodontidae	Torquigener brevipinnis	native 	 	Yellow-stripe toadfish 	venomous 
Tetraodontiformes	Tetraodontidae	Torquigener hicksi	native 	Hick's toadfish 	 	venomous 
Tetraodontiformes	Tetraodontidae	Torquigener pallimaculatus	native 	 	Multi-spotted toadfish 	venomous 
Tetraodontiformes	Tetraodontidae	Torquigener parcuspinus	native 	Yellow-eyed toadfish 	 	venomous 
Scorpaeniformes	Synanceiidae	Trachicephalus uranoscopus	native 	Stargazing stonefish 	 	venomous 
Perciformes	Carangidae	Trachinotus blochii	native 	Snubnose pompano 	Lowang 	reports of ciguatera poisoning 
Carcharhiniformes	Carcharhinidae	Triaenodon obesus	native 	Whitetip reef shark 	Hiu bokem 	traumatogenic 
Perciformes	Osphronemidae	Trichopodus pectoralis	introduced 	Snakeskin gourami 	Lampot 	potential pest 
Beloniformes	Belonidae	Tylosurus crocodilus	native 	Hound needlefish 	Kacangan 	traumatogenic 
Perciformes	Mullidae	Upeneus taeniopterus	native 	Finstripe goatfish 	 	reports of ciguatera poisoning 
Perciformes	Uranoscopidae	Uranoscopus sulphureus	native 	Whitemargin stargazer 	White-margin stargazer 	traumatogenic 
Myliobatiformes	Dasyatidae	Urogymnus asperrimus	native 	Porcupine whipray 	Pari duri 	traumatogenic 
Myliobatiformes	Dasyatidae	Urogymnus granulatus	native 	Mangrove whipray 	Pe sapi 	traumatogenic 
Myliobatiformes	Dasyatidae	Urogymnus polylepis	native 	Giant freshwater whipray 	Pari 	venomous 
Perciformes	Serranidae	Variola louti	native 	Yellow-edged lyretail 	Geurape cabeung 	reports of ciguatera poisoning 
Siluriformes	Siluridae	Wallago attu	native 	Wallago 	Jambal 	traumatogenic 
Beloniformes	Belonidae	Xenentodon cancila	native 	Freshwater garfish 	 	traumatogenic 
Cyprinodontiformes	Poeciliidae	Xiphophorus hellerii	introduced 	Green swordtail 	Suwadakar 	potential pest 
Perciformes	Gobiidae	Yongeichthys criniger	native 	 	Poisonous goby 	poisonous to eat 
