Order	Family	Species	Occurrence	FishBase name	Name	Danger
Anguilliformes	Muraenidae	Gymnothorax flavimarginatus	native 	Yellow-edged moray 	Yellow-edged moray 	reports of ciguatera poisoning 
Anguilliformes	Muraenidae	Gymnothorax javanicus	native 	Giant moray 	Giant moray 	reports of ciguatera poisoning 
Anguilliformes	Muraenidae	Gymnothorax meleagris	native 	Turkey moray 	White-mouth moray 	reports of ciguatera poisoning 
Anguilliformes	Muraenidae	Gymnothorax nudivomer	native 	Yellowmouth moray 	Yellow-mouth moray 	poisonous to eat 
Anguilliformes	Muraenidae	Gymnothorax pictus	native 	Paintspotted moray 	Peppered moray 	reports of ciguatera poisoning 
Anguilliformes	Muraenidae	Gymnothorax polyuranodon	native 	Freshwater moray 	 	reports of ciguatera poisoning 
Anguilliformes	Muraenidae	Gymnothorax reticularis	native 	 	Dusky-banded moray 	traumatogenic 
Anguilliformes	Muraenidae	Gymnothorax undulatus	native 	Undulated moray 	Undulate moray 	reports of ciguatera poisoning 
Myliobatiformes	Gymnuridae	Gymnura zonura	native 	Zonetail butterfly ray 	Pari payung 	venomous 
Siluriformes	Ariidae	Hemiarius dioctes	native 	Warrior catfish 	 	traumatogenic 
Siluriformes	Ariidae	Hemiarius stormii	native 	Armoured sea catfish 	 	traumatogenic 
Hexanchiformes	Hexanchidae	Heptranchias perlo	native 	Sharpnose sevengill shark 	Cucut kapukan 	poisonous to eat 
Clupeiformes	Clupeidae	Herklotsichthys quadrimaculatus	native 	Bluestripe herring 	Budueng 	potential pest 
Heterodontiformes	Heterodontidae	Heterodontus zebra	native 	Zebra bullhead shark 	 	traumatogenic 
Perciformes	Priacanthidae	Heteropriacanthus cruentatus	native 	Glasseye 	Beseh loong 	reports of ciguatera poisoning 
Hexanchiformes	Hexanchidae	Hexanchus griseus	native 	Bluntnose sixgill shark 	Cucut meong 	poisonous to eat 
Siluriformes	Ariidae	Hexanematichthys sagor	native 	Sagor catfish 	Babukan 	traumatogenic 
Myliobatiformes	Dasyatidae	Himantura uarnak	native 	Honeycomb stingray 	Pari pasir 	venomous 
Myliobatiformes	Dasyatidae	Himantura undulata	native 	Leopard whipray 	Pari macan 	venomous 
Lophiiformes	Antennariidae	Histrio histrio	native 	Sargassumfish 	Sargassum anglerfish 	reports of ciguatera poisoning 
Cypriniformes	Cyprinidae	Hypophthalmichthys molitrix	not established 	Silver carp 	 	potential pest 
Cypriniformes	Cyprinidae	Hypophthalmichthys nobilis	introduced 	Bighead carp 	 	potential pest 
Scorpaeniformes	Synanceiidae	Inimicus cuvieri	native 	Longsnout stinger 	 	venomous 
Scorpaeniformes	Synanceiidae	Inimicus didactylus	native 	Bearded ghoul 	Devil stinger 	venomous 
Scorpaeniformes	Synanceiidae	Inimicus sinensis	native 	Spotted ghoul 	 	venomous 
Scorpaeniformes	Scorpaenidae	Iracundus signifer	native 	Decoy scorpionfish 	 	venomous 
Lamniformes	Lamnidae	Isurus oxyrinchus	native 	Shortfin mako 	Hiu anjing 	traumatogenic 
Perciformes	Scombridae	Katsuwonus pelamis	native 	Skipjack tuna 	Ame-ame 	reports of ciguatera poisoning 
Siluriformes	Ariidae	Ketengus typus	native 	Bigmouth sea catfish 	Keting 	traumatogenic 
Perciformes	Kyphosidae	Kyphosus cinerascens	native 	Blue sea chub 	Snubnose rudderfish 	poisonous to eat 
Tetraodontiformes	Ostraciidae	Lactoria cornuta	native 	Longhorn cowfish 	Sapi sapi 	reports of ciguatera poisoning 
Tetraodontiformes	Ostraciidae	Lactoria diaphana	native 	Roundbelly cowfish 	Round-belly cowfish 	venomous 
Tetraodontiformes	Ostraciidae	Lactoria fornasini	native 	Thornback cowfish 	Thorny-back cowfish 	venomous 
Tetraodontiformes	Tetraodontidae	Lagocephalus gloveri	native 	 	 	poisonous to eat 
Tetraodontiformes	Tetraodontidae	Lagocephalus inermis	native 	Smooth blaasop 	 	poisonous to eat 
Tetraodontiformes	Tetraodontidae	Lagocephalus lagocephalus	native 	Oceanic puffer 	 	other 
Tetraodontiformes	Tetraodontidae	Lagocephalus lunaris	native 	Lunartail puffer 	 	poisonous to eat 
Tetraodontiformes	Tetraodontidae	Lagocephalus sceleratus	native 	Silver-cheeked toadfish 	 	poisonous to eat 
Cypriniformes	Cyprinidae	Leptobarbus hoevenii	native 	Hoven's carp 	Jelawat 	other 
Scorpaeniformes	Synanceiidae	Leptosynanceia asteroblepa	native 	 	 	venomous 
Perciformes	Lethrinidae	Lethrinus erythracanthus	native 	Orange-spotted emperor 	Orange-finned emperor 	reports of ciguatera poisoning 
Perciformes	Lethrinidae	Lethrinus microdon	native 	Smalltooth emperor 	Small-tooth emperor 	reports of ciguatera poisoning 
Perciformes	Lethrinidae	Lethrinus nebulosus	native 	Spangled emperor 	Lencam 	reports of ciguatera poisoning 
Perciformes	Lethrinidae	Lethrinus olivaceus	native 	Longface emperor 	Lausu 	reports of ciguatera poisoning 
Scorpaeniformes	Setarchidae	Lioscorpius longiceps	native 	Slender scorpionfish 	 	venomous 
Perciformes	Lutjanidae	Lutjanus argentimaculatus	native 	Mangrove red snapper 	Ganggrang eca 	reports of ciguatera poisoning 
Perciformes	Lutjanidae	Lutjanus bohar	native 	Two-spot red snapper 	Jareung gigo 	reports of ciguatera poisoning 
Perciformes	Lutjanidae	Lutjanus fulviflamma	native 	Dory snapper 	Ikan tanda 	reports of ciguatera poisoning 
Perciformes	Lutjanidae	Lutjanus fulvus	native 	Blacktail snapper 	Tambak 	reports of ciguatera poisoning 
Perciformes	Lutjanidae	Lutjanus gibbus	native 	Humpback red snapper 	Jenaha 	reports of ciguatera poisoning 
Perciformes	Lutjanidae	Lutjanus monostigma	native 	One-spot snapper 	Kelalah 	reports of ciguatera poisoning 
Perciformes	Lutjanidae	Lutjanus rivulatus	native 	Blubberlip snapper 	Gaga 	reports of ciguatera poisoning 
Perciformes	Lutjanidae	Lutjanus sebae	native 	Emperor red snapper 	Bambangan 	reports of ciguatera poisoning 
Perciformes	Blenniidae	Meiacanthus anema	native 	Threadless blenny 	 	venomous 
Perciformes	Blenniidae	Meiacanthus atrodorsalis	native 	Forktail blenny 	Eye-lash harptail-blenny 	venomous 
Perciformes	Blenniidae	Meiacanthus ditrema	native 	One-striped poison-fang blenny 	Schooling harptail blenny 	venomous 
Perciformes	Blenniidae	Meiacanthus grammistes	native 	Striped poison-fang blenny 	Line-spot harptail blenny 	venomous 
Scorpaeniformes	Synanceiidae	Minous coccineus	native 	Onestick stingfish 	 	venomous 
Scorpaeniformes	Synanceiidae	Minous monodactylus	native 	Grey stingfish 	 	venomous 
Tetraodontiformes	Molidae	Mola mola	native 	Ocean sunfish 	Ocean sunfish 	poisonous to eat 
Perciformes	Lethrinidae	Monotaxis grandoculis	native 	Humpnose big-eye bream 	Bagangan 	reports of ciguatera poisoning 
Anguilliformes	Muraenesocidae	Muraenesox bagio	native 	Common pike conger 	 	other 
Myliobatiformes	Myliobatidae	Myliobatis tobijei	questionable 	Japanese eagle ray 	Pari elang 	traumatogenic 
Beryciformes	Holocentridae	Myripristis murdjan	native 	Pinecone soldierfish 	Murjan 	reports of ciguatera poisoning 
Siluriformes	Bagridae	Mystus cavasius	misidentification 	Gangetic mystus 	Ririgi 	venomous 
Torpediniformes	Narcinidae	Narcine brunnea	native 	Brown numbfish 	 	other 
Torpediniformes	Narcinidae	Narcine lingula	native 	Chinese numbfish 	 	other 
Torpediniformes	Narcinidae	Narcine prodorsalis	native 	Tonkin numbfish 	 	other 
Torpediniformes	Narcinidae	Narcine timlei	native 	Spotted numbfish 	 	other 
Torpediniformes	Narkidae	Narke dipterygia	native 	Numbray 	 	other 
